Symbol,Name,거래소(시장),FnGuide Sector,FnGuide Industry Group,FnGuide Industry,한국표준산업분류11차(대분류),한국표준산업분류11차(중분류),한국표준산업분류11차(소분류),신용등급 (채권),신용등급 (CP),최대주주등 주주명-상장협(분기)
A032640,LG유플러스,유가증권시장,통신서비스,통신서비스,무선통신,정보통신업,우편 및 통신업,전기 통신업,AA,A1,㈜LG외 2인
A141080,리가켐바이오,코스닥,의료,제약 및 바이오,바이오,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,,,김용주외 10인
A000880,한화,유가증권시장,산업재,자본재,복합 산업,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,A+,A2+,김승연외 8인
A028300,HLB,코스닥,산업재,자본재,조선,제조업,의료용 물질 및 의약품 제조업,의료용품 및 기타 의약 관련제품 제조업,,,진양곤외 4인
A034220,LG디스플레이,유가증권시장,IT,디스플레이,디스플레이 및 관련부품,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,A,NA,LG전자외 1인
A021240,코웨이,유가증권시장,경기소비재,내구 소비재 및 의류,내구소비재,"협회 및 단체, 수리 및 기타 개인 서비스업",기타 개인 서비스업,그 외 기타 개인 서비스업,AA-,A1,코웨이홀딩스(주)외 10인
A006260,LS,유가증권시장,산업재,자본재,전기장비,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,A+,A2+,구자열외 40인
A128940,한미약품,유가증권시장,의료,제약 및 바이오,제약,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,AA-,NA,한미사이언스(주)외 2인
A000250,삼천당제약,코스닥,의료,제약 및 바이오,제약,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,,(주)소화외 1인
A078930,GS,유가증권시장,에너지,에너지,석유 및 가스,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,AA,A1,허창수외 48인
A001040,CJ,유가증권시장,필수소비재,음식료 및 담배,식료품,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,AA-,A1,이재현외 4인
A066970,엘앤에프,유가증권시장,IT,하드웨어,전자 장비 및 기기,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,BB,NA,(주)새로닉스외 9인
A028050,삼성E&A,유가증권시장,산업재,자본재,건설,"전문, 과학 및 기술 서비스업","건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",,,삼성SDI외 7인
A058470,리노공업,코스닥,IT,반도체,반도체 및 관련장비,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,,,이채윤
A009830,한화솔루션,유가증권시장,소재,소재,화학,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,AA-,A1,(주)한화외 6인
A175330,JB금융지주,유가증권시장,금융,은행,상업은행,금융 및 보험업,금융업,기타 금융업,AA+,NA,(주)삼양바이오팜외 3인
A138930,BNK금융지주,유가증권시장,금융,은행,상업은행,금융 및 보험업,금융업,기타 금융업,AAA,NA,롯데제과(주)외 8인
A001440,대한전선,유가증권시장,산업재,자본재,전기장비,제조업,전기장비 제조업,절연선 및 케이블 제조업,A,NA,대한광통신(주)외 10인
A004020,현대제철,유가증권시장,소재,소재,금속 및 광물,제조업,1차 금속 제조업,1차 철강 제조업,AA,A1,기아자동차외 8인
A022100,포스코DX,유가증권시장,IT,소프트웨어,IT 서비스,"전문, 과학 및 기술 서비스업","건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",NA,A2+,(주)포스코외 4인
A036570,엔씨소프트,유가증권시장,IT,소프트웨어,게임 소프트웨어,정보통신업,출판업,소프트웨어 개발 및 공급업,AA-,NA,"NEXON CO.,Ltd.외 1인"
A011790,SKC,유가증권시장,소재,소재,화학,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,A,A2,SK(주)외 8인
A051900,LG생활건강,유가증권시장,필수소비재,생활용품,가정생활용품,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,NA,A1,(주)LG외 1인
A111770,영원무역,유가증권시장,경기소비재,내구 소비재 및 의류,섬유 및 의복,도매 및 소매업,도매 및 상품 중개업,상품 종합 도매업,,,(주)영원무역 홀딩스외 12인
A052690,한전기술,유가증권시장,에너지,에너지,에너지 시설 및 서비스,"전문, 과학 및 기술 서비스업","건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",AA,NA,한국전력공사외 2인
A002380,KCC,유가증권시장,산업재,자본재,건축자재,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,AA-,A1,정몽진외 10인
A036460,한국가스공사,유가증권시장,유틸리티,유틸리티,가스,"전기, 가스, 증기 및 공기조절 공급업","전기, 가스, 증기 및 공기조절 공급업",연료용 가스 제조 및 배관공급업,AAA,A1,정부외 2인
A082740,한화엔진,유가증권시장,산업재,자본재,조선,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,BBB-,NA,두산중공업(주)외 2인
A035250,강원랜드,유가증권시장,경기소비재,소비자 서비스,호텔 및 레저,"예술, 스포츠 및 여가관련 서비스업",스포츠 및 오락관련 서비스업,유원지 및 기타 오락관련 서비스업,,,한국광해관리공단
A018880,한온시스템,유가증권시장,경기소비재,자동차 및 부품,자동차부품,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,AA-,NA,"VIHI, LLC"
A017800,현대엘리베이터,유가증권시장,산업재,자본재,기계,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,A,NA,현정은외 20인
A039030,이오테크닉스,코스닥,IT,반도체,반도체 및 관련장비,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,,,성규동외 11인
A011780,금호석유화학,유가증권시장,소재,소재,화학,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,A+,NA,박철완외 3인
A042670,HD현대인프라코어,유가증권시장,산업재,자본재,기계,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,A,NA,두산중공업외 8인
A011170,롯데케미칼,유가증권시장,소재,소재,화학,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,AA-,A1,롯데물산(주)외 3인
A097950,CJ제일제당,유가증권시장,필수소비재,음식료 및 담배,식료품,제조업,식료품 제조업,기타 식품 제조업,AA,A1,CJ주식회사외 6인
A071970,HD현대마린엔진,유가증권시장,산업재,자본재,조선,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,,,한국산업은행
A004990,롯데지주,유가증권시장,필수소비재,음식료 및 담배,식료품,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,A+,A2+,롯데알미늄㈜외 11인
A012750,에스원,유가증권시장,산업재,상업서비스,상업서비스,"사업시설 관리, 사업 지원 및 임대 서비스업",사업지원 서비스업,"경비, 경호 및 탐정업",,,SECOM(주)
A000990,DB하이텍,유가증권시장,IT,반도체,반도체 및 관련장비,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,,,동부씨엔아이외 9인
A103140,풍산,유가증권시장,소재,소재,금속 및 광물,제조업,1차 금속 제조업,1차 비철금속 제조업,A+,A2+,(주)풍산홀딩스외 2인
A103590,일진전기,유가증권시장,산업재,자본재,전기장비,제조업,전기장비 제조업,절연선 및 케이블 제조업,,,일진홀딩스(주)외 4인
A026960,동서,유가증권시장,필수소비재,음식료 및 담배,식료품,도매 및 소매업,도매 및 상품 중개업,음ㆍ식료품 및 담배 도매업,,,김상헌외 24인
A068760,셀트리온제약,코스닥,의료,제약 및 바이오,제약,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,,주식회사 셀트리온외 17인
A088350,한화생명,유가증권시장,금융,보험,보험,금융 및 보험업,보험업,보험업,,,한화건설외 4인
A012510,더존비즈온,유가증권시장,IT,소프트웨어,일반 소프트웨어,정보통신업,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업",,,김용우외 44인
A009970,영원무역홀딩스,유가증권시장,경기소비재,내구 소비재 및 의류,섬유 및 의복,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,,,성기학외 7인
A030000,제일기획,유가증권시장,경기소비재,미디어,미디어,"전문, 과학 및 기술 서비스업",전문 서비스업,광고업,,,삼성물산외 7인
A001450,현대해상,유가증권시장,금융,보험,보험,금융 및 보험업,보험업,보험업,,,정몽윤외 4인
A004370,농심,유가증권시장,필수소비재,음식료 및 담배,식료품,제조업,식료품 제조업,기타 식품 제조업,,,농심홀딩스외 3인
A014680,한솔케미칼,유가증권시장,소재,소재,화학,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,A+,NA,조동혁외 5인
A008930,한미사이언스,유가증권시장,의료,제약 및 바이오,제약,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,AA-,NA,임성기외 23인
A081660,미스토홀딩스,유가증권시장,경기소비재,내구 소비재 및 의류,섬유 및 의복,도매 및 소매업,도매 및 상품 중개업,생활용품 도매업,,,윤윤수외 4인
A000240,한국앤컴퍼니,유가증권시장,경기소비재,자동차 및 부품,자동차부품,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,,,조양래외 12인
A004170,신세계,유가증권시장,경기소비재,유통,백화점,도매 및 소매업,소매업; 자동차 제외,종합 소매업,AA,A1,이명희외 4인
A051600,한전KPS,유가증권시장,유틸리티,유틸리티,전력,건설업,전문직별 공사업,전기 및 통신 공사업,AA,NA,한국전력공사
A035900,JYP Ent.,코스닥,경기소비재,미디어,미디어,정보통신업,영상ㆍ오디오 기록물 제작 및 배급업,오디오물 출판 및 원판 녹음업,,,박진영외 3인
A001720,신영증권,유가증권시장,금융,증권,증권,금융 및 보험업,금융 및 보험 관련 서비스업,금융 지원 서비스업,AA-,A1,원국희외 18인
A041510,에스엠,코스닥,경기소비재,미디어,미디어,정보통신업,영상ㆍ오디오 기록물 제작 및 배급업,오디오물 출판 및 원판 녹음업,,,이수만
A030530,원익홀딩스,코스닥,IT,반도체,반도체 및 관련장비,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,,,(주)원익외 11인
A139130,iM금융지주,유가증권시장,금융,은행,상업은행,금융 및 보험업,금융업,기타 금융업,AAA,NA,삼성생명보험
A039200,오스코텍,코스닥,필수소비재,음식료 및 담배,식료품,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,,김정근외 6인
A003690,코리안리,유가증권시장,금융,보험,보험,금융 및 보험업,보험업,재 보험업,,,원혁희외 7인
A139480,이마트,유가증권시장,경기소비재,유통,백화점,도매 및 소매업,소매업; 자동차 제외,종합 소매업,AA-,A1,이명희외 4인
A095340,ISC,코스닥,IT,반도체,반도체 및 관련장비,도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,,,정영배외 6인
A009420,한올바이오파마,유가증권시장,의료,제약 및 바이오,제약,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,,김성욱외 9인
A004800,효성,유가증권시장,산업재,자본재,복합 산업,금융 및 보험업,금융업,기타 금융업,NA,A2,조현준외 7인
A018670,SK가스,유가증권시장,에너지,에너지,석유 및 가스,도매 및 소매업,도매 및 상품 중개업,기타 전문 도매업,AA-,A1,SK케미칼(주)외 4인
A097230,HJ중공업,유가증권시장,산업재,자본재,조선,건설업,종합 건설업,토목 건설업,,,(주)한진중공업홀딩스외 6인
