코드,회사명,통합순위,z_total_score,growth_score_z,z_mom_score,1개월 등락률 (%),3개월 등락률 (%),6개월 등락률 (%),9개월 등락률 (%),1년 등락률 (%)
A078350,한양디지텍,82,0.40163502351032215,-0.03347773568731208,0.8367477827079564,6.98,15.32,135.2,110.5,152.35
A267260,HD현대일렉트릭,83,0.398393939800518,0.10597382999393645,0.6908140496070996,4.87,31.04,68.0,170.3,101.23
A300080,플리토,84,0.3865352796277067,0.0056033298604235525,0.7674672293949898,-14.13,67.09,39.47,180.93,171.06
A095340,ISC,85,0.37572583447166735,-0.08684868969721866,0.8383003586405534,8.3,48.15,107.61,140.48,71.43
A099440,스맥,86,0.37171793759004657,-0.26154257627275174,1.0049784514528448,9.19,50.36,108.08,177.25,97.82
A103590,일진전기,87,0.3697473030464999,0.01795897311888014,0.7215356329741196,8.4,57.67,41.53,146.71,99.31
A084370,유진테크,88,0.3438322034341169,-0.2261387507374853,0.9138031576057191,6.73,10.88,126.46,148.48,174.8
A329180,HD현대중공업,89,0.33912516351471633,0.7392337972304021,-0.060983470200969385,-3.08,-4.55,23.68,68.0,74.39
A195870,해성디에스,90,0.3380911831108921,-0.0938373276907971,0.7700196939125813,1.86,39.44,93.98,124.59,136.72
A023590,다우기술,91,0.3348043364044805,0.40974720431333933,0.2598614684956216,7.76,10.31,5.88,103.18,124.87
A039440,에스티아이,92,0.33017735006621385,-0.1257713606592107,0.7861260607916384,30.59,38.46,81.97,67.17,92.26
A006730,서부T&D,93,0.3283223859384939,-0.003414208094641994,0.6600589799716298,12.59,34.63,39.32,132.55,132.55
A065710,서호전기,94,0.32379365570401236,0.1639960545019615,0.4835912569060632,2.97,26.86,37.06,112.24,144.17
A319660,피에스케이,95,0.30771865906565965,-0.19864504214069825,0.8140823602720175,19.33,13.08,102.6,116.59,137.78
A003380,하림지주,96,0.3003149152988684,-0.04007151138424311,0.6407013419819799,26.97,50.89,8.19,98.73,101.65
A000500,가온전선,97,0.2988664952813439,0.12527070763278042,0.47246228292990733,9.7,55.87,29.97,110.57,40.67
A001450,현대해상,98,0.2913596308802217,0.7393207378841617,-0.15660147612371833,0.33,9.69,12.11,42.76,22.2
A000990,DB하이텍,99,0.28928206711813415,-0.004225868661582418,0.5827900028978507,13.38,31.37,61.45,77.59,124.01
A214370,케어젠,100,0.28746455668950893,-0.19835573722340405,0.7732848506024219,-4.16,16.77,102.19,183.85,148.07
